src,dst,from_class,to_class,confidence
train\SUV\01200_Infiniti-QX56-SUV-2011_jpg.rf.c6ac0a820128aa445c75a87722884a44.jpg,train\HATCHBACK\01200_Infiniti-QX56-SUV-2011_jpg.rf.c6ac0a820128aa445c75a87722884a44.jpg,SUV,HATCHBACK,0.885
train\SUV\02508_Ford-Expedition-EL-SUV-2009_jpg.rf.f35f0d0f777e8812f2412942dd8cae76.jpg,train\Pick-Up\02508_Ford-Expedition-EL-SUV-2009_jpg.rf.f35f0d0f777e8812f2412942dd8cae76.jpg,SUV,PICKUP,0.912
train\SUV\06922_Hyundai-Veracruz-SUV-2012_jpg.rf.9a2bdb4eeb4285d11a2ea2925da3f56e.jpg,train\HATCHBACK\06922_Hyundai-Veracruz-SUV-2012_jpg.rf.9a2bdb4eeb4285d11a2ea2925da3f56e.jpg,SUV,HATCHBACK,0.873
train\SUV\06968_Hyundai-Santa-Fe-SUV-2012_jpg.rf.2f919e2eca03608634e3627361949333.jpg,train\HATCHBACK\06968_Hyundai-Santa-Fe-SUV-2012_jpg.rf.2f919e2eca03608634e3627361949333.jpg,SUV,HATCHBACK,0.967
train\SUV\07532_Jeep-Liberty-SUV-2012_jpg.rf.da2c586153795f1d99962d15e1ec9543.jpg,train\Pick-Up\07532_Jeep-Liberty-SUV-2012_jpg.rf.da2c586153795f1d99962d15e1ec9543.jpg,SUV,PICKUP,0.887
train\SUV\44_jpg.rf.cd3cc541c17fe1294bbf9b4fb5ca1abe.jpg,train\HATCHBACK\44_jpg.rf.cd3cc541c17fe1294bbf9b4fb5ca1abe.jpg,SUV,HATCHBACK,0.870
train\SUV\77_jpg.rf.f17cc203e0236db52855ab75894fe03d.jpg,train\HATCHBACK\77_jpg.rf.f17cc203e0236db52855ab75894fe03d.jpg,SUV,HATCHBACK,0.918
train\STATION_WAGON\17665739.jpg,train\HATCHBACK\17665739.jpg,STATION_WAGON,HATCHBACK,0.854
train\STATION_WAGON\18315082.jpg,train\HATCHBACK\18315082.jpg,STATION_WAGON,HATCHBACK,0.854
train\STATION_WAGON\18503518.jpg,train\HATCHBACK\18503518.jpg,STATION_WAGON,HATCHBACK,0.900
train\STATION_WAGON\18551446.jpg,train\HATCHBACK\18551446.jpg,STATION_WAGON,HATCHBACK,0.867
train\STATION_WAGON\18700491.jpg,train\HATCHBACK\18700491.jpg,STATION_WAGON,HATCHBACK,0.904
train\STATION_WAGON\18755982.jpg,train\HATCHBACK\18755982.jpg,STATION_WAGON,HATCHBACK,0.894
train\STATION_WAGON\18898214.jpg,train\HATCHBACK\18898214.jpg,STATION_WAGON,HATCHBACK,0.944
train\MICRO\17206076.jpg,train\ACIK_TEKERLEK\17206076.jpg,MICRO,ACIK_TEKERLEK,0.893
train\SEDAN\00472_Hyundai-Azera-Sedan-2012_jpg.rf.828ecd8e2be46430ad19eb6e7bda22d4.jpg,train\HATCHBACK\00472_Hyundai-Azera-Sedan-2012_jpg.rf.828ecd8e2be46430ad19eb6e7bda22d4.jpg,SEDAN,HATCHBACK,0.888
train\SEDAN\00925_Chevrolet-Malibu-Sedan-2007_jpg.rf.518d9d8951a278f2e1c43428a36dd418.jpg,train\HATCHBACK\00925_Chevrolet-Malibu-Sedan-2007_jpg.rf.518d9d8951a278f2e1c43428a36dd418.jpg,SEDAN,HATCHBACK,0.859
train\SEDAN\01023_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.55e149a2b647a6b280c5e2558d2696c9.jpg,train\HATCHBACK\01023_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.55e149a2b647a6b280c5e2558d2696c9.jpg,SEDAN,HATCHBACK,0.854
train\SEDAN\01319_Suzuki-Aerio-Sedan-2007_jpg.rf.f7c039892a28f371db744f925c736dfc.jpg,train\HATCHBACK\01319_Suzuki-Aerio-Sedan-2007_jpg.rf.f7c039892a28f371db744f925c736dfc.jpg,SEDAN,HATCHBACK,0.866
train\SEDAN\01535_Acura-RL-Sedan-2012_jpg.rf.dff16ab98186cac698ce34a259780687.jpg,train\HATCHBACK\01535_Acura-RL-Sedan-2012_jpg.rf.dff16ab98186cac698ce34a259780687.jpg,SEDAN,HATCHBACK,0.934
train\SEDAN\01821_BMW-3-Series-Sedan-2012_jpg.rf.17dc3c9cb21903f608408bb859bb84b4.jpg,train\HATCHBACK\01821_BMW-3-Series-Sedan-2012_jpg.rf.17dc3c9cb21903f608408bb859bb84b4.jpg,SEDAN,HATCHBACK,0.943
train\SEDAN\01890_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.22643b29d6bb8ec3cae3933bb429c9f6.jpg,train\HATCHBACK\01890_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.22643b29d6bb8ec3cae3933bb429c9f6.jpg,SEDAN,HATCHBACK,0.860
train\SEDAN\02004_Acura-TSX-Sedan-2012_jpg.rf.4ca10b04b516d51060cd3ad156327cc2.jpg,train\HATCHBACK\02004_Acura-TSX-Sedan-2012_jpg.rf.4ca10b04b516d51060cd3ad156327cc2.jpg,SEDAN,HATCHBACK,0.853
train\SEDAN\02065_Acura-RL-Sedan-2012_jpg.rf.fe5adf79f319b32b265a8b3319308db0.jpg,train\HATCHBACK\02065_Acura-RL-Sedan-2012_jpg.rf.fe5adf79f319b32b265a8b3319308db0.jpg,SEDAN,HATCHBACK,0.890
train\SEDAN\02355_Suzuki-Kizashi-Sedan-2012_jpg.rf.335ee25ac7da5cacbd5dacbe0366188a.jpg,train\HATCHBACK\02355_Suzuki-Kizashi-Sedan-2012_jpg.rf.335ee25ac7da5cacbd5dacbe0366188a.jpg,SEDAN,HATCHBACK,0.867
train\SEDAN\02463_Hyundai-Genesis-Sedan-2012_jpg.rf.c125f03e618cf149c0e12b756061fe19.jpg,train\HATCHBACK\02463_Hyundai-Genesis-Sedan-2012_jpg.rf.c125f03e618cf149c0e12b756061fe19.jpg,SEDAN,HATCHBACK,0.918
train\SEDAN\02663_Acura-TL-Sedan-2012_jpg.rf.088680dcff6d45cf206acad519200ade.jpg,train\HATCHBACK\02663_Acura-TL-Sedan-2012_jpg.rf.088680dcff6d45cf206acad519200ade.jpg,SEDAN,HATCHBACK,0.926
train\SEDAN\03011_Acura-RL-Sedan-2012_jpg.rf.4f8a1b3250386aefb50c7af4c1e3b7b1.jpg,train\HATCHBACK\03011_Acura-RL-Sedan-2012_jpg.rf.4f8a1b3250386aefb50c7af4c1e3b7b1.jpg,SEDAN,HATCHBACK,0.851
train\SEDAN\03086_Hyundai-Accent-Sedan-2012_jpg.rf.f7f9547a68fda5d27ae111d92460e356.jpg,train\HATCHBACK\03086_Hyundai-Accent-Sedan-2012_jpg.rf.f7f9547a68fda5d27ae111d92460e356.jpg,SEDAN,HATCHBACK,0.878
train\SEDAN\03168_Buick-Verano-Sedan-2012_jpg.rf.e09e77ff5320927a7339cfda4484496f.jpg,train\HATCHBACK\03168_Buick-Verano-Sedan-2012_jpg.rf.e09e77ff5320927a7339cfda4484496f.jpg,SEDAN,HATCHBACK,0.860
train\SEDAN\03190_Mercedes-Benz-S-Class-Sedan-2012_jpg.rf.5ba9b4edf78cf1d54c335bbda95fcae9.jpg,train\HATCHBACK\03190_Mercedes-Benz-S-Class-Sedan-2012_jpg.rf.5ba9b4edf78cf1d54c335bbda95fcae9.jpg,SEDAN,HATCHBACK,0.855
train\SEDAN\03266_Hyundai-Sonata-Hybrid-Sedan-2012_jpg.rf.6e33e2b4962ca0992cd7fbf5b8584e6d.jpg,train\HATCHBACK\03266_Hyundai-Sonata-Hybrid-Sedan-2012_jpg.rf.6e33e2b4962ca0992cd7fbf5b8584e6d.jpg,SEDAN,HATCHBACK,0.961
train\SEDAN\03352_Chevrolet-Malibu-Hybrid-Sedan-2010_jpg.rf.fbb5b99abdfa05bc7a91757ecac8cce1.jpg,train\HATCHBACK\03352_Chevrolet-Malibu-Hybrid-Sedan-2010_jpg.rf.fbb5b99abdfa05bc7a91757ecac8cce1.jpg,SEDAN,HATCHBACK,0.880
train\SEDAN\03360_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.48c69a121bdca7c5bac79087b31c9793.jpg,train\HATCHBACK\03360_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.48c69a121bdca7c5bac79087b31c9793.jpg,SEDAN,HATCHBACK,0.854
