path,folder_label,model_pred,confidence
train\SUV\03274_Hyundai-Tucson-SUV-2012_jpg.rf.4b1bc146be829d842c94e968851741b5.jpg,SUV,HATCHBACK,0.783
train\VAN\202106023381652_jpg.rf.89a5962522ef8c3a64fb96bbd248c330.jpg,VAN,STATION_WAGON,0.795
train\STATION_WAGON\19061125.jpg,STATION_WAGON,SEDAN,0.652
train\MICRO\82.jpg,MICRO,HATCHBACK,0.655
train\ACIK_TEKERLEK\16427374.jpg,ACIK_TEKERLEK,STATION_WAGON,0.889
train\ACIK_TEKERLEK\17206076.jpg,ACIK_TEKERLEK,MICRO,0.738
train\ACIK_TEKERLEK\17491737.jpg,ACIK_TEKERLEK,STATION_WAGON,0.830
train\ACIK_TEKERLEK\17877950.jpg,ACIK_TEKERLEK,STATION_WAGON,0.684
train\ACIK_TEKERLEK\18172070.jpg,ACIK_TEKERLEK,STATION_WAGON,0.965
train\ACIK_TEKERLEK\18307346.jpg,ACIK_TEKERLEK,STATION_WAGON,0.947
train\ACIK_TEKERLEK\18439469.jpg,ACIK_TEKERLEK,STATION_WAGON,0.732
train\ACIK_TEKERLEK\18606766.jpg,ACIK_TEKERLEK,STATION_WAGON,0.887
train\ACIK_TEKERLEK\18671147.jpg,ACIK_TEKERLEK,STATION_WAGON,0.801
train\ACIK_TEKERLEK\18711256.jpg,ACIK_TEKERLEK,STATION_WAGON,0.783
train\ACIK_TEKERLEK\18766576.jpg,ACIK_TEKERLEK,STATION_WAGON,0.736
train\ACIK_TEKERLEK\18852223.jpg,ACIK_TEKERLEK,STATION_WAGON,0.980
train\ACIK_TEKERLEK\18868689.jpg,ACIK_TEKERLEK,STATION_WAGON,0.907
train\ACIK_TEKERLEK\18892268.jpg,ACIK_TEKERLEK,STATION_WAGON,0.937
train\ACIK_TEKERLEK\18906131.jpg,ACIK_TEKERLEK,STATION_WAGON,0.974
train\ACIK_TEKERLEK\18945117.jpg,ACIK_TEKERLEK,STATION_WAGON,0.989
train\ACIK_TEKERLEK\18957136.jpg,ACIK_TEKERLEK,STATION_WAGON,0.804
train\ACIK_TEKERLEK\18980076.jpg,ACIK_TEKERLEK,STATION_WAGON,0.993
train\ACIK_TEKERLEK\19029619.jpg,ACIK_TEKERLEK,STATION_WAGON,0.934
train\ACIK_TEKERLEK\19033995.jpg,ACIK_TEKERLEK,STATION_WAGON,0.994
train\ACIK_TEKERLEK\19036609.jpg,ACIK_TEKERLEK,STATION_WAGON,0.785
train\ACIK_TEKERLEK\19101238.jpg,ACIK_TEKERLEK,STATION_WAGON,0.980
train\ACIK_TEKERLEK\278_jpg.rf.686cb773edc3b1712b1efb926c10ab2e.jpg,ACIK_TEKERLEK,SEDAN,0.882
train\ACIK_TEKERLEK\Image_192_jpg.rf.1e2fcf317483cb524f1fdaa10fd18537.jpg,ACIK_TEKERLEK,HATCHBACK,0.804
train\SEDAN\57_jpg.rf.2ac73c4cf9a8e35ba0a0659c22525612.jpg,SEDAN,HATCHBACK,0.705
train\HATCHBACK\00024_Nissan-Juke-Hatchback-2012_jpg.rf.816718c0e801494e7f56e26defa544a6.jpg,HATCHBACK,SUV,0.746
train\HATCHBACK\00472_Hyundai-Azera-Sedan-2012_jpg.rf.828ecd8e2be46430ad19eb6e7bda22d4.jpg,HATCHBACK,SEDAN,0.875
train\HATCHBACK\00925_Chevrolet-Malibu-Sedan-2007_jpg.rf.518d9d8951a278f2e1c43428a36dd418.jpg,HATCHBACK,SEDAN,0.653
train\HATCHBACK\01023_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.55e149a2b647a6b280c5e2558d2696c9.jpg,HATCHBACK,SEDAN,0.931
train\HATCHBACK\01535_Acura-RL-Sedan-2012_jpg.rf.dff16ab98186cac698ce34a259780687.jpg,HATCHBACK,SEDAN,0.967
train\HATCHBACK\01706_Acura-ZDX-Hatchback-2012_jpg.rf.4aa23a1c14b4a4e49cf916e932da1acd.jpg,HATCHBACK,SUV,0.803
train\HATCHBACK\01821_BMW-3-Series-Sedan-2012_jpg.rf.17dc3c9cb21903f608408bb859bb84b4.jpg,HATCHBACK,SEDAN,0.973
train\HATCHBACK\01890_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.22643b29d6bb8ec3cae3933bb429c9f6.jpg,HATCHBACK,SEDAN,0.983
train\HATCHBACK\02004_Acura-TSX-Sedan-2012_jpg.rf.4ca10b04b516d51060cd3ad156327cc2.jpg,HATCHBACK,SEDAN,0.949
train\HATCHBACK\02065_Acura-RL-Sedan-2012_jpg.rf.fe5adf79f319b32b265a8b3319308db0.jpg,HATCHBACK,SEDAN,0.936
train\HATCHBACK\02355_Suzuki-Kizashi-Sedan-2012_jpg.rf.335ee25ac7da5cacbd5dacbe0366188a.jpg,HATCHBACK,SEDAN,0.734
train\HATCHBACK\02463_Hyundai-Genesis-Sedan-2012_jpg.rf.c125f03e618cf149c0e12b756061fe19.jpg,HATCHBACK,SEDAN,0.903
train\HATCHBACK\02663_Acura-TL-Sedan-2012_jpg.rf.088680dcff6d45cf206acad519200ade.jpg,HATCHBACK,SEDAN,0.907
train\HATCHBACK\03011_Acura-RL-Sedan-2012_jpg.rf.4f8a1b3250386aefb50c7af4c1e3b7b1.jpg,HATCHBACK,SEDAN,0.887
train\HATCHBACK\03044_Suzuki-SX4-Hatchback-2012_jpg.rf.264a27a2ba17ec13d563b231d012bab8.jpg,HATCHBACK,SUV,0.690
train\HATCHBACK\03168_Buick-Verano-Sedan-2012_jpg.rf.e09e77ff5320927a7339cfda4484496f.jpg,HATCHBACK,SEDAN,0.883
train\HATCHBACK\03190_Mercedes-Benz-S-Class-Sedan-2012_jpg.rf.5ba9b4edf78cf1d54c335bbda95fcae9.jpg,HATCHBACK,SEDAN,0.922
train\HATCHBACK\03266_Hyundai-Sonata-Hybrid-Sedan-2012_jpg.rf.6e33e2b4962ca0992cd7fbf5b8584e6d.jpg,HATCHBACK,SEDAN,0.918
train\HATCHBACK\03352_Chevrolet-Malibu-Hybrid-Sedan-2010_jpg.rf.fbb5b99abdfa05bc7a91757ecac8cce1.jpg,HATCHBACK,SEDAN,0.913
train\HATCHBACK\03360_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.48c69a121bdca7c5bac79087b31c9793.jpg,HATCHBACK,SEDAN,0.950
train\HATCHBACK\03476_Scion-xD-Hatchback-2012_jpg.rf.278f8426994d633a738c864e7fdb69c1.jpg,HATCHBACK,SUV,0.702
train\HATCHBACK\03511_Acura-TSX-Sedan-2012_jpg.rf.594c57f5337b0041f5d0afc61abcc103.jpg,HATCHBACK,SEDAN,0.728
train\HATCHBACK\03740_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.71d42224d08a158b549746e313ab6b36.jpg,HATCHBACK,SEDAN,0.974
train\HATCHBACK\03852_BMW-M5-Sedan-2010_jpg.rf.54bb694ed6fed860853d363f775dad67.jpg,HATCHBACK,SEDAN,0.902
train\HATCHBACK\03892_Audi-S4-Sedan-2007_jpg.rf.757ea4ddcd03e2a126bc156d7626db1b.jpg,HATCHBACK,SEDAN,0.936
train\HATCHBACK\05219_Nissan-Juke-Hatchback-2012_jpg.rf.e10731515df6daa63ba8103c857c6fda.jpg,HATCHBACK,SUV,0.708
train\HATCHBACK\05492_Volkswagen-Golf-Hatchback-2012_jpg.rf.71c8500e656f90709fef0ec99fe270f1.jpg,HATCHBACK,SEDAN,0.736
train\HATCHBACK\06645_Buick-Verano-Sedan-2012_jpg.rf.709c0afabc161f4dd7e3f66377758854.jpg,HATCHBACK,SEDAN,0.874
train\HATCHBACK\06734_BMW-ActiveHybrid-5-Sedan-2012_jpg.rf.df2d20fe6027b6e8d6e869b12261110f.jpg,HATCHBACK,SEDAN,0.969
train\HATCHBACK\06835_Suzuki-Kizashi-Sedan-2012_jpg.rf.fcdc7908c0ea2283f896c75d16ede87d.jpg,HATCHBACK,SEDAN,0.939
train\HATCHBACK\06922_Hyundai-Veracruz-SUV-2012_jpg.rf.9a2bdb4eeb4285d11a2ea2925da3f56e.jpg,HATCHBACK,SUV,0.662
train\HATCHBACK\06973_Hyundai-Sonata-Sedan-2012_jpg.rf.ad7e2afcdead24c502e66136dd26503a.jpg,HATCHBACK,SEDAN,0.759
train\HATCHBACK\07346_Acura-TL-Sedan-2012_jpg.rf.c53d6152d7f3a9397b8c5a63b9eb270d.jpg,HATCHBACK,SEDAN,0.964
train\HATCHBACK\07414_Suzuki-Aerio-Sedan-2007_jpg.rf.ce42b12fecbfedf5f16b2e6b328c822c.jpg,HATCHBACK,SEDAN,0.783
train\HATCHBACK\07443_Honda-Accord-Sedan-2012_jpg.rf.1f06789d32eae0074fc47137bbbea18b.jpg,HATCHBACK,SEDAN,0.953
train\HATCHBACK\07581_Hyundai-Sonata-Sedan-2012_jpg.rf.0f0312a6ca7e7898036069ce15130304.jpg,HATCHBACK,SEDAN,0.865
train\HATCHBACK\07951_Buick-Verano-Sedan-2012_jpg.rf.834eefadbd6ab01b13d24d8c016e5f30.jpg,HATCHBACK,SEDAN,0.958
train\HATCHBACK\108_jpg.rf.19a3d558712133fb2b05196fd93a9256.jpg,HATCHBACK,SEDAN,0.747
train\HATCHBACK\108_jpg.rf.d2aacc041ce99c0c3ce704ed666fc31b.jpg,HATCHBACK,SEDAN,0.746
train\HATCHBACK\110_jpg.rf.b2b830bdcf72392d348d728d4eb7733f.jpg,HATCHBACK,SEDAN,0.911
train\HATCHBACK\114_jpg.rf.122177aa4a15828a8e2363e8290e3a2b.jpg,HATCHBACK,SEDAN,0.958
train\HATCHBACK\117_jpg.rf.0042ac06e76b5af883a68366ace55b1c.jpg,HATCHBACK,SEDAN,0.792
train\HATCHBACK\119_jpg.rf.559e608edc80b76fb1784e53e27ff3f6.jpg,HATCHBACK,SEDAN,0.935
train\HATCHBACK\119_jpg.rf.8148ef434e122cc7e8166d9a91426f80.jpg,HATCHBACK,SEDAN,0.942
train\HATCHBACK\136_jpg.rf.07c3625be93632d154538b1763e4356d.jpg,HATCHBACK,SEDAN,0.972
train\HATCHBACK\138_jpg.rf.6c0e820c1ede09807a05302f76b6d1e7.jpg,HATCHBACK,SEDAN,0.971
train\HATCHBACK\146_jpg.rf.4ced1cda25f6fe96a7101683c1c6f274.jpg,HATCHBACK,SEDAN,0.897
train\HATCHBACK\153_jpg.rf.424ce9a9532749ee63062e34a4baab46.jpg,HATCHBACK,SEDAN,0.756
train\HATCHBACK\166_jpg.rf.d967ddfdebb01305c8300b848635a2ee.jpg,HATCHBACK,SEDAN,0.667
train\HATCHBACK\170_jpg.rf.e0144cd15430de4d93e6d045062cf532.jpg,HATCHBACK,SEDAN,0.923
train\HATCHBACK\174_jpg.rf.82c97d124650f3114bbd8b2cd2ab9099.jpg,HATCHBACK,SEDAN,0.938
train\HATCHBACK\17780649.jpg,HATCHBACK,MICRO,0.906
train\HATCHBACK\18315082.jpg,HATCHBACK,STATION_WAGON,0.902
train\HATCHBACK\183_jpg.rf.2f00b5465c23c38cbfc0f811a1db7813.jpg,HATCHBACK,SEDAN,0.808
train\HATCHBACK\184_jpg.rf.76b4b357afc1c09361b5078aa3398a40.jpg,HATCHBACK,SEDAN,0.740
train\HATCHBACK\18503518.jpg,HATCHBACK,STATION_WAGON,0.948
train\HATCHBACK\18700491.jpg,HATCHBACK,STATION_WAGON,0.958
train\HATCHBACK\187_jpg.rf.8471dc71d327a2aeea5296345b18cb7e.jpg,HATCHBACK,SEDAN,0.687
train\HATCHBACK\19078977.jpg,HATCHBACK,MICRO,0.916
train\HATCHBACK\193_jpg.rf.bb608b57e3157af3683db0a1b27c85c5.jpg,HATCHBACK,SEDAN,0.943
train\HATCHBACK\205_jpg.rf.6caf7ab450928a6cc4607dd19ef42f6c.jpg,HATCHBACK,SEDAN,0.956
train\HATCHBACK\212_jpg.rf.39b984daab16b425b59c3d9541bf53d7.jpg,HATCHBACK,SEDAN,0.817
train\HATCHBACK\21_jpg.rf.f95e0faf5268c82ec65635171140eb99.jpg,HATCHBACK,SEDAN,0.950
train\HATCHBACK\226_jpg.rf.928222df27f78ee6436af97c846dfa00.jpg,HATCHBACK,SEDAN,0.958
train\HATCHBACK\230_jpg.rf.406d7719a70e7439866b1c6d3f233faa.jpg,HATCHBACK,SEDAN,0.978
train\HATCHBACK\248_jpg.rf.d821ee084d4a8da0d46101bd2daa95aa.jpg,HATCHBACK,SEDAN,0.938
train\HATCHBACK\251_jpg.rf.9d0ab8072d886841c402791bf8110eee.jpg,HATCHBACK,SEDAN,0.905
train\HATCHBACK\258_jpg.rf.569e423104a619a27cf4526e04d6ae50.jpg,HATCHBACK,SEDAN,0.920
train\HATCHBACK\269_jpg.rf.4e76630d98f79c9e52d64c41ab75b0f4.jpg,HATCHBACK,SEDAN,0.968
train\HATCHBACK\29_jpg.rf.c3fa6aa6a09ad8deeedfe440034fc0c0.jpg,HATCHBACK,SEDAN,0.972
train\HATCHBACK\305_jpg.rf.084e2542833c6629f4eb0f01f764e3ff.jpg,HATCHBACK,SEDAN,0.960
train\HATCHBACK\305_jpg.rf.b22d418024ee8f0b6c1e286cecc89eb9.jpg,HATCHBACK,SEDAN,0.915
train\HATCHBACK\318_jpg.rf.f51a980f4ee758eb850a158ec364e876.jpg,HATCHBACK,SEDAN,0.913
train\HATCHBACK\332_jpg.rf.123e4afc1f79710438c2cd4b023f7864.jpg,HATCHBACK,SEDAN,0.810
train\HATCHBACK\372_jpg.rf.0aee2be9b0ba430ea46a42b8db41590c.jpg,HATCHBACK,SEDAN,0.764
train\HATCHBACK\384_jpg.rf.0f5acd0963ad6bf7c32a24cc35efebe5.jpg,HATCHBACK,SEDAN,0.732
train\HATCHBACK\38_jpg.rf.682f39f25993542e54024e553b1c2785.jpg,HATCHBACK,SEDAN,0.904
train\HATCHBACK\39_jpg.rf.52f118afcb00ea7487b4be23a2826f91.jpg,HATCHBACK,SEDAN,0.956
train\HATCHBACK\3_jpg.rf.ae64dd92ef6c9efeb22327d6fdc3d694.jpg,HATCHBACK,SEDAN,0.962
train\HATCHBACK\426_jpg.rf.dc425fffb750ce3f1716fb1cc5280d69.jpg,HATCHBACK,SEDAN,0.841
train\HATCHBACK\437_jpg.rf.2691906d3bfd084efc1f1fdd395bfaed.jpg,HATCHBACK,SEDAN,0.662
train\HATCHBACK\43_jpg.rf.8413782cf4f99e52eab102fd501ebb0b.jpg,HATCHBACK,SEDAN,0.982
train\HATCHBACK\484_jpg.rf.6f5ae1bdc51ba9d713d53fed9433eba1.jpg,HATCHBACK,SEDAN,0.882
train\HATCHBACK\490_jpg.rf.c0ff71720bbd640e68953119e641477f.jpg,HATCHBACK,SEDAN,0.966
train\HATCHBACK\54_jpg.rf.094e47b0a87faccd976152b5067b3808.jpg,HATCHBACK,SEDAN,0.741
train\HATCHBACK\56_jpg.rf.522d074fb2bddcb36af68c71bef0c7e9.jpg,HATCHBACK,SEDAN,0.769
train\HATCHBACK\59_jpg.rf.681d59b475721cdc888057c998dbc68b.jpg,HATCHBACK,SEDAN,0.970
train\HATCHBACK\5_jpg.rf.c70ec5a1678406d77e089e13b015a85b.jpg,HATCHBACK,SEDAN,0.944
train\HATCHBACK\60_jpg.rf.9c7eb3ea71feb3e42bfd60e8d4a0a8eb.jpg,HATCHBACK,SEDAN,0.931
train\HATCHBACK\63_jpg.rf.6f7b638ed3b7ac6a664313b748b7938c.jpg,HATCHBACK,SEDAN,0.903
