path,true_class,predicted_class,confidence,true_pdf_id,pred_pdf_id
train\SUV\00010_Chevrolet-Traverse-SUV-2012_jpg.rf.1cbd38afb5c71d4e1844b78c36e42937.jpg,SUV,HATCHBACK,0.640,1,7
train\SUV\00105_Hyundai-Veracruz-SUV-2012_jpg.rf.b176c9812fa6ec1180644278647b5f49.jpg,SUV,HATCHBACK,0.596,1,7
train\SUV\00113_Hyundai-Veracruz-SUV-2012_jpg.rf.d69879ef3b4533a5ba9a1db4433dbfc0.jpg,SUV,HATCHBACK,0.662,1,7
train\SUV\00135_Chevrolet-Traverse-SUV-2012_jpg.rf.950d79a9ee8c1fdfbb29d9ab09fcb1ee.jpg,SUV,HATCHBACK,0.572,1,7
train\SUV\00276_Hyundai-Tucson-SUV-2012_jpg.rf.289a3889408f729054f93c9bd5dabf01.jpg,SUV,HATCHBACK,0.734,1,7
train\SUV\00443_Isuzu-Ascender-SUV-2008_jpg.rf.feb42e5e359141bce4342b68f42268b1.jpg,SUV,PICKUP,0.809,1,8
train\SUV\00457_GMC-Terrain-SUV-2012_jpg.rf.9b36be4acbbad0aaa017931d81b017c1.jpg,SUV,PICKUP,0.653,1,8
train\SUV\00739_Chevrolet-Traverse-SUV-2012_jpg.rf.70c9021d8c4645e1ebc4c3f16c561753.jpg,SUV,HATCHBACK,0.727,1,7
train\SUV\00830_Cadillac-SRX-SUV-2012_jpg.rf.696230443df7b01d002869d29a800f42.jpg,SUV,HATCHBACK,0.621,1,7
train\SUV\00851_Volvo-XC90-SUV-2007_jpg.rf.30bda59fc0389e8caa266003eec5a5fb.jpg,SUV,HATCHBACK,0.608,1,7
train\SUV\00857_GMC-Terrain-SUV-2012_jpg.rf.4d6f06fd6ddf392f0efc3826e9738d5b.jpg,SUV,PICKUP,0.596,1,8
train\SUV\00895_Hyundai-Veracruz-SUV-2012_jpg.rf.c86d1ee4db1ca1c17f5964adb503e0d8.jpg,SUV,HATCHBACK,0.625,1,7
train\SUV\00977_BMW-X6-SUV-2012_jpg.rf.1a9663617865cd53884ecdefe8e4c6c9.jpg,SUV,HATCHBACK,0.691,1,7
train\SUV\01079_BMW-X3-SUV-2012_jpg.rf.b465eb61a8d48544c85aff7639f6df41.jpg,SUV,HATCHBACK,0.718,1,7
train\SUV\01096_Mazda-Tribute-SUV-2011_jpg.rf.d1934b8f4afb92e23fe80c0bfad4bb82.jpg,SUV,HATCHBACK,0.601,1,7
train\SUV\01132_Isuzu-Ascender-SUV-2008_jpg.rf.853f9e287d14bafe89806ea9709a5575.jpg,SUV,HATCHBACK,0.673,1,7
train\SUV\01143_GMC-Acadia-SUV-2012_jpg.rf.fd1a4ef8f1921a26ddd329dcf28e72e6.jpg,SUV,HATCHBACK,0.734,1,7
train\SUV\01200_Infiniti-QX56-SUV-2011_jpg.rf.c6ac0a820128aa445c75a87722884a44.jpg,SUV,HATCHBACK,0.885,1,7
train\SUV\01260_Dodge-Durango-SUV-2007_jpg.rf.3d2f698ac83f0ccd55f5a576ba0ee3e9.jpg,SUV,PICKUP,0.590,1,8
train\SUV\01364_Chevrolet-Traverse-SUV-2012_jpg.rf.af4ed6f6018c1de35888a042eb195acf.jpg,SUV,HATCHBACK,0.768,1,7
train\SUV\01557_Buick-Enclave-SUV-2012_jpg.rf.7f93616b3fa99a79cc8fddf03912c119.jpg,SUV,HATCHBACK,0.718,1,7
train\SUV\01615_Cadillac-SRX-SUV-2012_jpg.rf.327bbac8479e120794caa5e98acfb8d0.jpg,SUV,HATCHBACK,0.648,1,7
train\SUV\01691_Buick-Enclave-SUV-2012_jpg.rf.3d17c1d4586971ac0741b58f7f24ea39.jpg,SUV,HATCHBACK,0.559,1,7
train\SUV\01811_Cadillac-SRX-SUV-2012_jpg.rf.52994f31a1f069414367ee350ac9c18b.jpg,SUV,HATCHBACK,0.647,1,7
train\SUV\01892_BMW-X3-SUV-2012_jpg.rf.073d511b2a6a6aede0fecc37eb3ecc0c.jpg,SUV,HATCHBACK,0.588,1,7
train\SUV\01936_Jeep-Wrangler-SUV-2012_jpg.rf.ea58de1bc1470dfe966de0d30bc09f4e.jpg,SUV,PICKUP,0.655,1,8
train\SUV\01951_Ford-Edge-SUV-2012_jpg.rf.bb7d958fd9c1bf932f887dbdd521dd22.jpg,SUV,HATCHBACK,0.711,1,7
train\SUV\01966_BMW-X5-SUV-2007_jpg.rf.54de599a2147d72d39c01fb78034b6b5.jpg,SUV,HATCHBACK,0.593,1,7
train\SUV\01991_BMW-X6-SUV-2012_jpg.rf.64663835a5960605bb3bf468adf00e1b.jpg,SUV,PICKUP,0.589,1,8
train\SUV\02108_Jeep-Liberty-SUV-2012_jpg.rf.06af18534648824d43495765f1e12534.jpg,SUV,PICKUP,0.647,1,8
train\SUV\02336_BMW-X3-SUV-2012_jpg.rf.d615c92fb8c2322cbdf27393cd2e8ed1.jpg,SUV,ACIK_TEKERLEK,0.671,1,5
train\SUV\02421_Mazda-Tribute-SUV-2011_jpg.rf.282865db8c189f513cd80d3a3c5aef50.jpg,SUV,PICKUP,0.700,1,8
train\SUV\02445_Buick-Rainier-SUV-2007_jpg.rf.d217679ebe654e8a79c775a8d942a4f3.jpg,SUV,HATCHBACK,0.685,1,7
train\SUV\02508_Ford-Expedition-EL-SUV-2009_jpg.rf.f35f0d0f777e8812f2412942dd8cae76.jpg,SUV,PICKUP,0.912,1,8
train\SUV\02511_Hyundai-Tucson-SUV-2012_jpg.rf.3970abde6e954a383213d206eafc7ba5.jpg,SUV,HATCHBACK,0.615,1,7
train\SUV\02542_Land-Rover-LR2-SUV-2012_jpg.rf.7c2bc44a8b0b639fe998873daa5f495f.jpg,SUV,HATCHBACK,0.709,1,7
train\SUV\02555_Hyundai-Veracruz-SUV-2012_jpg.rf.e36db148abbf4a3231886f097a97b9bd.jpg,SUV,HATCHBACK,0.602,1,7
train\SUV\02571_Jeep-Wrangler-SUV-2012_jpg.rf.611bc75502c11b098e8070298437e2c9.jpg,SUV,PICKUP,0.832,1,8
train\SUV\02638_Dodge-Journey-SUV-2012_jpg.rf.3e138e5afe0d8fa81166813674d47f30.jpg,SUV,PICKUP,0.692,1,8
train\SUV\02977_Ford-Edge-SUV-2012_jpg.rf.9ee21f302f4dbc63f32aacd5084ed152.jpg,SUV,HATCHBACK,0.578,1,7
train\SUV\03022_BMW-X3-SUV-2012_jpg.rf.73d456d830ab4fb2bf0abd5d0acb37b7.jpg,SUV,HATCHBACK,0.659,1,7
train\SUV\03274_Hyundai-Tucson-SUV-2012_jpg.rf.4b1bc146be829d842c94e968851741b5.jpg,SUV,HATCHBACK,0.684,1,7
train\SUV\03281_Toyota-4Runner-SUV-2012_jpg.rf.701334c55333edb4f98ab5ae3812384f.jpg,SUV,PICKUP,0.611,1,8
train\SUV\03339_BMW-X3-SUV-2012_jpg.rf.fcfce48f1aa89d87502dca139faca09a.jpg,SUV,HATCHBACK,0.575,1,7
train\SUV\03530_Land-Rover-LR2-SUV-2012_jpg.rf.bf19257fc4d514f19df62382f6ef146d.jpg,SUV,PICKUP,0.677,1,8
train\SUV\03788_Infiniti-QX56-SUV-2011_jpg.rf.bc258c75da9b2483a811ea3d821dbb70.jpg,SUV,HATCHBACK,0.660,1,7
train\SUV\03894_Ford-Edge-SUV-2012_jpg.rf.57df6d83de4a554f8957e317218443ad.jpg,SUV,PICKUP,0.710,1,8
train\SUV\03995_Volvo-XC90-SUV-2007_jpg.rf.44d0418ef6fe1f5828b81e68bbf5de02.jpg,SUV,HATCHBACK,0.706,1,7
train\SUV\04115_Jeep-Liberty-SUV-2012_jpg.rf.bd4b072510caa11f6363fd01b2376f36.jpg,SUV,PICKUP,0.602,1,8
train\SUV\04171_BMW-X5-SUV-2007_jpg.rf.22b787fd7c6b1de9b779c733c5d3e09d.jpg,SUV,HATCHBACK,0.594,1,7
train\SUV\04310_Chevrolet-Traverse-SUV-2012_jpg.rf.0e41732debcff008efa6c1aa973eb519.jpg,SUV,HATCHBACK,0.668,1,7
train\SUV\04393_Dodge-Durango-SUV-2007_jpg.rf.f38966b903df675586db2dfc54ad303d.jpg,SUV,PICKUP,0.642,1,8
train\SUV\04553_Buick-Rainier-SUV-2007_jpg.rf.b89a9c67dd5739ab3033a5b24217629a.jpg,SUV,HATCHBACK,0.638,1,7
train\SUV\04642_Buick-Enclave-SUV-2012_jpg.rf.55fedeae312ff7c84925e5ad6617969f.jpg,SUV,HATCHBACK,0.555,1,7
train\SUV\04804_Ford-Edge-SUV-2012_jpg.rf.fc1804a749718b6951619a3a732482fe.jpg,SUV,HATCHBACK,0.843,1,7
train\SUV\04850_Hyundai-Veracruz-SUV-2012_jpg.rf.d6c8677b3ed5a69f68ee0d6ef9389d85.jpg,SUV,HATCHBACK,0.618,1,7
train\SUV\04968_Mazda-Tribute-SUV-2011_jpg.rf.cd8e3251e95497eab631aecd467bca6c.jpg,SUV,HATCHBACK,0.691,1,7
train\SUV\05054_Cadillac-SRX-SUV-2012_jpg.rf.e04573ac55b562453d568ca5061f0014.jpg,SUV,PICKUP,0.624,1,8
train\SUV\05161_Hyundai-Santa-Fe-SUV-2012_jpg.rf.ad5a590b35114f85d3de64eca3454434.jpg,SUV,HATCHBACK,0.561,1,7
train\SUV\05319_GMC-Terrain-SUV-2012_jpg.rf.1471276fb6b2d5619f69ab125aec7abf.jpg,SUV,PICKUP,0.558,1,8
train\SUV\05396_Buick-Enclave-SUV-2012_jpg.rf.007b0e741936314344bf2f69e91f67b8.jpg,SUV,HATCHBACK,0.752,1,7
train\SUV\05466_Hyundai-Tucson-SUV-2012_jpg.rf.1df5dbb506d6a592f1764db5a0bbcb5d.jpg,SUV,HATCHBACK,0.586,1,7
train\SUV\05506_Hyundai-Tucson-SUV-2012_jpg.rf.b908936475803240cda44451772e9c06.jpg,SUV,PICKUP,0.819,1,8
train\SUV\05527_Toyota-Sequoia-SUV-2012_jpg.rf.11c5b78fa19864760fd5c09d35dff2a0.jpg,SUV,HATCHBACK,0.636,1,7
train\SUV\05725_Isuzu-Ascender-SUV-2008_jpg.rf.aaacc6c7e7cfef036ea6475f2d85c0b5.jpg,SUV,PICKUP,0.618,1,8
train\SUV\05731_Dodge-Durango-SUV-2012_jpg.rf.c38f4a40b6c4b89bfa27bddf14471b46.jpg,SUV,HATCHBACK,0.736,1,7
train\SUV\05927_Dodge-Journey-SUV-2012_jpg.rf.0953266bf677c57fc11d6afb4f1db906.jpg,SUV,HATCHBACK,0.794,1,7
train\SUV\05974_Toyota-Sequoia-SUV-2012_jpg.rf.f9c00add698ac1f3980355a6770750bb.jpg,SUV,PICKUP,0.600,1,8
train\SUV\06075_BMW-X3-SUV-2012_jpg.rf.d4e5ff1003de8a6c9af1d24ee7ff5400.jpg,SUV,HATCHBACK,0.616,1,7
train\SUV\06124_Buick-Enclave-SUV-2012_jpg.rf.cc33200a7408e933062e89c644494f98.jpg,SUV,HATCHBACK,0.590,1,7
train\SUV\06187_Dodge-Journey-SUV-2012_jpg.rf.eac81bc8334973e3cc4692e53883ab11.jpg,SUV,HATCHBACK,0.784,1,7
train\SUV\06308_BMW-X3-SUV-2012_jpg.rf.daeb458852b6e7a5fc78ac71f6c4822d.jpg,SUV,HATCHBACK,0.552,1,7
train\SUV\06414_GMC-Yukon-Hybrid-SUV-2012_jpg.rf.3653438ccc275274315a8ba3622f0469.jpg,SUV,PICKUP,0.574,1,8
train\SUV\06420_Ford-Edge-SUV-2012_jpg.rf.f03e403903c6eb1e4a50f7c7b6be09a8.jpg,SUV,HATCHBACK,0.753,1,7
train\SUV\06680_Hyundai-Tucson-SUV-2012_jpg.rf.effd92ec0ff15bb7409ad714a288fdbb.jpg,SUV,HATCHBACK,0.686,1,7
train\SUV\06749_GMC-Acadia-SUV-2012_jpg.rf.89c3e9ec962f90e3f10f699cc504c876.jpg,SUV,PICKUP,0.666,1,8
train\SUV\06824_Ford-Edge-SUV-2012_jpg.rf.d06647648e1ef35a63df4362ecfca7e9.jpg,SUV,HATCHBACK,0.745,1,7
train\SUV\06922_Hyundai-Veracruz-SUV-2012_jpg.rf.9a2bdb4eeb4285d11a2ea2925da3f56e.jpg,SUV,HATCHBACK,0.873,1,7
train\SUV\06968_Hyundai-Santa-Fe-SUV-2012_jpg.rf.2f919e2eca03608634e3627361949333.jpg,SUV,HATCHBACK,0.967,1,7
train\SUV\06972_Cadillac-SRX-SUV-2012_jpg.rf.80e3531ce69665a664cbed4ddd23c67a.jpg,SUV,HATCHBACK,0.694,1,7
train\SUV\06993_Dodge-Journey-SUV-2012_jpg.rf.c82d9fb4db30ba4df00220cf4ac39177.jpg,SUV,HATCHBACK,0.715,1,7
train\SUV\07062_GMC-Terrain-SUV-2012_jpg.rf.12259fbca4db5d13248df81bde6489de.jpg,SUV,PICKUP,0.577,1,8
train\SUV\07126_Cadillac-SRX-SUV-2012_jpg.rf.b606628efd983eb9b9d500715922804a.jpg,SUV,HATCHBACK,0.766,1,7
